"COD UNIDADE ORGANIZACIONAL";"DESCRICAO UNIDADE ORGANIZACIONAL";"VP";"DIRETORIA";"AREA ATENDIMENTO"
"1773";"PR EQUIPE M&A QUALIDADE";"PRESIDENCIA";"LOGISTICA";""
"1463";"EQUIPE CONSOLIDACAO";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"2198";"EQUIPE HBN";"VP COMERCIAL";"PLANEJAMENTO DE VENDAS";""
"2991";"TMO - 138 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3454";"EQUIPE FISCAL VAREJO 2";"PRESIDENCIA";"FINANCEIRO VAREJO";""
"2560";"ROS - 357 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2455";"DML - 58 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3634";"RJ EQUIPE SUPORTE CDS";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3162";"DML - 5 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3492";"GER FINANCEIRO VAREJO - CONTAS A RECEBER";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"2728";"ROS - 386 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"2725";"ROS - 360 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3172";"ROS - 324 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1605";"SPI ENCARREGADO CONFERENCIA - T3";"PRESIDENCIA";"LOGISTICA";""
"3767";"ESPEC. INFRA TI";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"2461";"DML - 72 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2085";"GER PE";"VP COMERCIAL";"VENDAS";""
"2277";"DML - 89 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"1544";"RJ EQUIPE LINHA 3 - T3";"PRESIDENCIA";"LOGISTICA";""
"3395";"ROS - 469 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1845";"AL EQUIPE PRODUCAO - T2";"PRESIDENCIA";"LOGISTICA";""
"2474";"DML - 23 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3386";"DML - 72 - EQUIPE LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"3697";"PR SUP CGG";"PRESIDENCIA ";"CULTURA E GESTAO DE GENTE";""
"2631";"ROS - 355 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2602";"ROS - 342 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3219";"SUPERINTENDENCIA ADMINISTRATIVA";"VP CORPORATIVA";"CENTRO SERVICOS COMPARTILHADOS";""
"3568";"EQUIPE ESG (REPORT GERENCIA)";"PRESIDENCIA";"ESG";""
"1569";"GER REGIONAL OPERACOES RJ e ES";"PRESIDENCIA";"LOGISTICA";""
"45";"COORD SUPRIMENTOS";"PRESIDENCIA";"ADMINISTRATIVO FINANCEIRA";""
"2456";"DML - 65 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3022";"TMO - 139 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2880";"TMO - 142 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1435";"GER GOVERNANCA CGG";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"2100";"MT EQUIPE DEVOLUCAO";"PRESIDENCIA";"LOGISTICA";""
"3780";"ROS - 477 - GER FARMACEUTICO/LOJE";"VP VAREJO";"OPERACOES LOJAS";""
"1663";"SUP MG SUL 1";"VP COMERCIAL";"VENDAS";""
"1522";"RJ SUP - QUALIDADE + ESTOQUE";"PRESIDENCIA";"LOGISTICA";""
"2712";"ROS - 306 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2223";"EQUIPE PROFISSA";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"1423";"EQUIPE DESENVOLVIMENTO VAREJO";"PRESIDENCIA";"TECNOLOGIA INFORMACAO";""
"3049";"TMO - 178 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1508";"EQUIPE AUTOMACAO CDs";"PRESIDENCIA";"LOGISTICA";""
"2079";"SUP SAV";"VP COMERCIAL";"PLANEJAMENTO VENDAS";""
